# Alpha Deck — SIC description -> business-type leaf (the MONITOR taxonomy's main map).
#
# EDIT THIS FILE to change how a SIC industry classifies (see README.md in this folder).
# Rows are grouped by leaf for reading; group order carries NO meaning. Matching is
# whitespace-collapsed + case-insensitive, so reflowing spaces/case here is safe; the
# strings below are EDGAR sicDescription VERBATIM (including the SEC's own typos, e.g.
# "Transmisison", "Opeators", "of fices" — kept as-said, matched robustly).
# A live SIC string NOT in this file classifies as `other` (visible, never dropped).
# Per-name/per-string exceptions go in overrides.csv, NOT here (e.g. the ERII semicap
# exception). royalty=y marks a SIC that is royalty-by-definition (the overlay).
#
# columns:
sic_description,business_type,royalty

# --- Biotech / Pharma  ->  healthcare   (6 SIC strings · 398 master rows live) ---
"Pharmaceutical Preparations",biotech_pharma,
"Biological Products, (No Diagnostic Substances)",biotech_pharma,
"Medicinal Chemicals & Botanical Products",biotech_pharma,
"In Vitro & In Vivo Diagnostic Substances",biotech_pharma,
"Wholesale-Drugs, Proprietaries & Druggists' Sundries",biotech_pharma,
"Services-Commercial Physical & Biological Research",biotech_pharma,

# --- Medical Devices  ->  healthcare   (8 SIC strings · 94 master rows live) ---
"Surgical & Medical Instruments & Apparatus",medical_devices,
"Electromedical & Electrotherapeutic Apparatus",medical_devices,
"Laboratory Analytical Instruments",medical_devices,
"Orthopedic, Prosthetic & Surgical Appliances & Supplies",medical_devices,
"X-Ray Apparatus & Tubes & Related Irradiation Apparatus",medical_devices,
"Dental Equipment & Supplies",medical_devices,
"Laboratory Apparatus & Furniture",medical_devices,
"Ophthalmic Goods",medical_devices,

# --- Healthcare Services  ->  healthcare   (9 SIC strings · 27 master rows live) ---
"Services-Misc Health & Allied Services, NEC",healthcare_services,
"Hospital & Medical Service Plans",healthcare_services,
"Services-Home Health Care Services",healthcare_services,
"Services-Medical Laboratories",healthcare_services,
"Services-Offices & Clinics of  Doctors of  Medicine",healthcare_services,
"Services-Health Services",healthcare_services,
"Services-Hospitals",healthcare_services,
"Services-Nursing & Personal Care Facilities",healthcare_services,
"Services-Skilled Nursing Care Facilities",healthcare_services,

# --- Bank  ->  financials   (5 SIC strings · 107 master rows live) ---
"National Commercial Banks",bank,
"Commercial Banks, NEC",bank,
"State Commercial Banks",bank,
"Savings Institution, Federally Chartered",bank,
"Savings Institutions, Not Federally Chartered",bank,

# --- Finance & Brokers  ->  financials   (19 SIC strings · 315 master rows live) ---
"Finance Services",finance_brokers,
"Commodity Contracts Brokers & Dealers",finance_brokers,
"Security Brokers, Dealers & Flotation Companies",finance_brokers,
"Security & Commodity Brokers, Dealers, Exchanges & Services",finance_brokers,
"Fire, Marine & Casualty Insurance",finance_brokers,
"Investment Advice",finance_brokers,
"Life Insurance",finance_brokers,
"Insurance Agents, Brokers & Service",finance_brokers,
"Loan Brokers",finance_brokers,
